Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Baceviciute S., Terkildsen T., Makransky G.","55441702500;57205338475;50361371800;","Remediating learning from non-immersive to immersive media: Using EEG to investigate the effects of environmental embeddedness on reading in Virtual Reality",2021,"Computers and Education","164",, 104122,"","",,,"10.1016/j.compedu.2020.104122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100105880&doi=10.1016%2fj.compedu.2020.104122&partnerID=40&md5=0e064f3f47964fe4caef507e98daa3ff","University of Copenhagen, Department of Psychology, Denmark","Baceviciute, S., University of Copenhagen, Department of Psychology, Denmark; Terkildsen, T., University of Copenhagen, Department of Psychology, Denmark; Makransky, G., University of Copenhagen, Department of Psychology, Denmark","Virtual Reality (VR) has the potential to enrich education but little is known about how unique affordances of immersive technology might influence leaning and cognition. This study investigates one particular affordance of VR, namely environmental embeddedness, which enables learners to be situated in simulated or imagined settings that contextualize their learning. A sample of 51 university students were administered written learning material in a between-subjects design study, wherein one group read text about sarcoma cancer on a physical pamphlet in the real world, and the other group read identical text on a virtual pamphlet embedded in an immersive VR environment which resembled a hospital room. The study combined advanced EEG measurement techniques, learning tests, and cognitive load measures to compare conditions. Results show that the VR group performed significantly better on a knowledge transfer post-test. However, reading in VR was found to be more cognitively effortful and less time-efficient. Findings suggest the significance of environmental embeddedness for learning, and provide important considerations for the design of educational VR environments, as we remediate learning content from non-immersive to immersive media. © 2021 Elsevier Ltd","EEG; Embeddedness; Learning; Remediation; Virtual reality environments","E-learning; Knowledge management; Remediation; Cognitive loads; Immersive media; Immersive technologies; Knowledge transfer; Learning contents; Learning materials; Measurement techniques; University students; Virtual reality",Article,"Final","",Scopus,2-s2.0-85100105880
"Araiza-Alba P., Keane T., Chen W.S., Kaufman J.","57191667278;55582336900;57188973057;7403022831;","Immersive virtual reality as a tool to learn problem-solving skills",2021,"Computers and Education","164",, 104121,"","",,,"10.1016/j.compedu.2020.104121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099353627&doi=10.1016%2fj.compedu.2020.104121&partnerID=40&md5=82079d081459ac2caf3cea01c4ad7087","Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia","Araiza-Alba, P., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia; Keane, T., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia; Chen, W.S., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia; Kaufman, J., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia","Immersive virtual reality (IVR) technology has demonstrated positive educational outcomes related to its use and is gaining traction in educational and training settings; IVR is expected to have widespread adoption within the classroom in the upcoming years. However, the educational potential of IVR with children has not been thoroughly investigated, especially as a tool for problem-solving skills. Therefore, this study was designed to answer the following questions: (1) Is IVR a useful tool to learn and practice problem-solving skills? More specifically, do children using IVR solve a game better than those using a tablet application or a board game? (2) Does IVR provide a more engaging experience for children to practice problem-solving skills than on a tablet or a board game? (3) Do problem-solving skills learned with IVR technology transfer to real-life (physical game)? Children (n = 120) aged 7–9.9 years were randomly assigned to a problem-solving game in one of three conditions: board game, tablet, or IVR. The results showed that, overall, the percentage of children who completed the problem-solving game was higher in the IVR condition (77.5%), compared with those in the tablet (32.5%) or board game (30%) conditions. We also found that the interest and enjoyment scores of participants using IVR were significantly higher than participants in the other two conditions, and that the children in the IVR condition were able to learn how to solve the problem and transfer their learning to the physical game. IVR is a technology capable of engaging interest and motivating the user, as well as having the potential to assist in cognitive processing and knowledge transfer. © 2021 Elsevier Ltd","21st century abilities; Elementary education; Games; Problem-solving skills; Virtual reality","Knowledge management; Technology transfer; Transfer learning; Board games; Cognitive processing; Educational potential; Immersive virtual reality; Knowledge transfer; Physical games; Problem solving skills; Tablet applications; Virtual reality",Article,"Final","",Scopus,2-s2.0-85099353627
"Kourtesis P., Collina S., Doumas L.A.A., MacPherson S.E.","57210959726;35309731500;12345301900;57212061035;","Validation of the Virtual Reality Everyday Assessment Lab (VR-EAL): An Immersive Virtual Reality Neuropsychological Battery with Enhanced Ecological Validity",2021,"Journal of the International Neuropsychological Society","27","2",,"181","196",,2,"10.1017/S1355617720000764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095727298&doi=10.1017%2fS1355617720000764&partnerID=40&md5=682a1271572f8544a09deaa59f15dad1","Human Cognitive Neuroscience, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom; Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom; Lab of Experimental Psychology, Suor Orsola Benincasa University of Naples, Naples, Italy; Interdepartmental Centre for Planning and Research Scienza Nuova, Suor Orsola Benincasa University of Naples, Naples, Italy","Kourtesis, P., Human Cognitive Neuroscience, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom, Lab of Experimental Psychology, Suor Orsola Benincasa University of Naples, Naples, Italy, Interdepartmental Centre for Planning and Research Scienza Nuova, Suor Orsola Benincasa University of Naples, Naples, Italy; Collina, S., Lab of Experimental Psychology, Suor Orsola Benincasa University of Naples, Naples, Italy, Interdepartmental Centre for Planning and Research Scienza Nuova, Suor Orsola Benincasa University of Naples, Naples, Italy; Doumas, L.A.A., Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom; MacPherson, S.E., Human Cognitive Neuroscience, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom","The assessment of cognitive functions such as prospective memory, episodic memory, attention, and executive functions benefits from an ecologically valid approach to better understand how performance outcomes generalize to everyday life. Immersive virtual reality (VR) is considered capable of simulating real-life situations to enhance ecological validity. The present study attempted to validate the Virtual Reality Everyday Assessment Lab (VR-EAL), an immersive VR neuropsychological battery, against an extensive paper-and-pencil neuropsychological battery. Methods: Forty-one participants (21 females) were recruited: 18 gamers and 23 non-gamers who attended both an immersive VR and a paper-and-pencil testing session. Bayesian Pearson's correlation analyses were conducted to assess construct and convergent validity of the VR-EAL. Bayesian t-tests were performed to compare VR and paper-and-pencil testing in terms of administration time, similarity to real-life tasks (i.e., ecological validity), and pleasantness. Results: VR-EAL scores were significantly correlated with their equivalent scores on the paper-and-pencil tests. The participants' reports indicated that the VR-EAL tasks were significantly more ecologically valid and pleasant than the paper-and-pencil neuropsychological battery. The VR-EAL battery also had a shorter administration time. Conclusion: The VR-EAL appears as an effective neuropsychological tool for the assessment of everyday cognitive functions, which has enhanced ecological validity, a highly pleasant testing experience, and does not induce cybersickness. © 2020 INS. Published by Cambridge University Press.","Attention; Episodic memory; Everyday functioning; Executive function; Prospective memory; Virtual reality",,Article,"Final","",Scopus,2-s2.0-85095727298
"Wilf M., Cerra Cheraka M., Jeanneret M., Ott R., Perrin H., Crottaz-Herbette S., Serino A.","36515832500;57222264361;57221090466;57221094468;57221091485;57202925776;23390163100;","Combined virtual reality and haptic robotics induce space and movement invariant sensorimotor adaptation",2021,"Neuropsychologia","150",, 107692,"","",,,"10.1016/j.neuropsychologia.2020.107692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098145308&doi=10.1016%2fj.neuropsychologia.2020.107692&partnerID=40&md5=1d5ecc00fd2c0fe69faadad48c343573","MySpace Lab, Department of Clinical Neurosciences, Lausanne University Hospital (CHUV), Lausanne, Switzerland; MindMaze SA, Chemin de Roseneck 5, Lausanne, 1006, Switzerland; Neuropsychology and Neurorehabilitation Service, Lausanne University Hospital (CHUV), Lausanne, Switzerland","Wilf, M., MySpace Lab, Department of Clinical Neurosciences, Lausanne University Hospital (CHUV), Lausanne, Switzerland; Cerra Cheraka, M., MindMaze SA, Chemin de Roseneck 5, Lausanne, 1006, Switzerland; Jeanneret, M., MindMaze SA, Chemin de Roseneck 5, Lausanne, 1006, Switzerland; Ott, R., MindMaze SA, Chemin de Roseneck 5, Lausanne, 1006, Switzerland; Perrin, H., MySpace Lab, Department of Clinical Neurosciences, Lausanne University Hospital (CHUV), Lausanne, Switzerland; Crottaz-Herbette, S., Neuropsychology and Neurorehabilitation Service, Lausanne University Hospital (CHUV), Lausanne, Switzerland; Serino, A., MySpace Lab, Department of Clinical Neurosciences, Lausanne University Hospital (CHUV), Lausanne, Switzerland, MindMaze SA, Chemin de Roseneck 5, Lausanne, 1006, Switzerland","Prism adaptation is a method for studying visuomotor plasticity in healthy individuals, as well as for rehabilitating patients suffering spatial neglect. We developed a new set-up based on virtual-reality (VR) and haptic-robotics allowing us to induce sensorimotor adaptation and to reproduce the effect of prism adaptation in a more ecologically valid, yet experimentally controlled context. Participants were exposed to an immersive VR environment while controlling a virtual hand via a robotic-haptic device to reach virtual objects. During training, a rotational shift was induced between the position of the participant's real hand and that of the virtual hand in order to trigger sensorimotor recalibration. The use of VR and haptic-robotics allowed us to simulate and test multiple components of sensorimotor adaptation: training either peripersonal or extrapersonal space and testing generalization for the non-trained sector of space, and using active versus robot-guided reaching movements. Results from 60 neurologically intact participants show that participants exposed to the virtual shift were able to quickly adapt their reaching movements to aim correctly at the target objects. When the shift was removed, participants showed a systematic deviation of their movements during open-loop tasks in the direction opposite to that of the shift, which generalized to un-trained portions of space and occurred also when their movements were robotically-guided during the adaptation. Interestingly, follow-up questionnaires revealed that when the adaptation training was robotically-guided, participants were largely unaware of the mismatch between their hand and the virtual hand's position. The stability of the aftereffects, despite the changing experimental parameters, suggests that the induced sensory-motor adaptation does not rely on low-level processing of sensory stimuli during the training, but taps into high-level representations of space. Importantly, the flexibility of the trained space and the option of robotically-guided movements open novel possibilities of fine-tuning the training to patients’ level of spatial and motor impairment, thus possibly resulting in a better outcome. © 2020 The Author(s)","Far space; Guided movement; Haptic robot; Hemispatial neglect; Passive movement; Prism adaptation; Virtual reality",,Article,"Final","",Scopus,2-s2.0-85098145308
"Haar S., Sundar G., Faisal A.A.","56497714500;57221842054;6602900233;","Embodied virtual reality for the study of real-world motor learning",2021,"PLoS ONE","16","1 January", e0245717,"","",,,"10.1371/journal.pone.0245717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100402457&doi=10.1371%2fjournal.pone.0245717&partnerID=40&md5=ea815d1c3bc8770fcd8183182d0d35ba","Brain and Behaviour Lab, Dept. of Bioengineering, Imperial College London, London, United Kingdom; Dept. of Computing, Imperial College London, London, United Kingdom; UKRI Centre for Doctoral Training in AI for Healthcare, Imperial College London, London, United Kingdom; MRC London Institute of Medical Sciences, Imperial College London, London, United Kingdom","Haar, S., Brain and Behaviour Lab, Dept. of Bioengineering, Imperial College London, London, United Kingdom; Sundar, G., Brain and Behaviour Lab, Dept. of Bioengineering, Imperial College London, London, United Kingdom; Faisal, A.A., Brain and Behaviour Lab, Dept. of Bioengineering, Imperial College London, London, United Kingdom, Dept. of Computing, Imperial College London, London, United Kingdom, UKRI Centre for Doctoral Training in AI for Healthcare, Imperial College London, London, United Kingdom, MRC London Institute of Medical Sciences, Imperial College London, London, United Kingdom","Motor-learning literature focuses on simple laboratory-tasks due to their controlled manner and the ease to apply manipulations to induce learning and adaptation. Recently, we introduced a billiards paradigm and demonstrated the feasibility of real-world-neuroscience using wearables for naturalistic full-body motion-tracking and mobile-brain-imaging. Here we developed an embodied virtual-reality (VR) environment to our real-world billiards paradigm, which allows to control the visual feedback for this complex real-world task, while maintaining sense of embodiment. The setup was validated by comparing real-world ball trajectories with the trajectories of the virtual balls, calculated by the physics engine. We then ran our short-term motor learning protocol in the embodied VR. Subjects played billiard shots when they held the physical cue and hit a physical ball on the table while seeing it all in VR. We found comparable short-term motor learning trends in the embodied VR to those we previously reported in the physical real-world task. Embodied VR can be used for learning real-world tasks in a highly controlled environment which enables applying visual manipulations, common in laboratory-tasks and rehabilitation, to a real-world full-body task. Embodied VR enables to manipulate feedback and apply perturbations to isolate and assess interactions between specific motor-learning components, thus enabling addressing the current questions of motor-learning in real-world tasks. Such a setup can potentially be used for rehabilitation, where VR is gaining popularity but the transfer to the real-world is currently limited, presumably, due to the lack of embodiment. Copyright: © 2021 Haar et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"adult; article; motor learning; physics; rehabilitation; virtual reality; visual feedback",Article,"Final","",Scopus,2-s2.0-85100402457
"Harris D.J., Hardcastle K.J., Wilson M.R., Vine S.J.","57192429891;57221862684;55574207642;36811509000;","Assessing the learning and transfer of gaze behaviours in immersive virtual reality",2021,"Virtual Reality",,,,"","",,,"10.1007/s10055-021-00501-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100476971&doi=10.1007%2fs10055-021-00501-w&partnerID=40&md5=ad4779acdc2d1563f331327866d64c86","School of Sport and Health Sciences, University of Exeter, St Luke’s Campus, Exeter, EX1 2LU, United Kingdom; Counter Terrorism Protective Security Operations, Metropolitan Police Service, Lambeth HQ, London, SE1 7LP, United Kingdom","Harris, D.J., School of Sport and Health Sciences, University of Exeter, St Luke’s Campus, Exeter, EX1 2LU, United Kingdom; Hardcastle, K.J., Counter Terrorism Protective Security Operations, Metropolitan Police Service, Lambeth HQ, London, SE1 7LP, United Kingdom; Wilson, M.R., School of Sport and Health Sciences, University of Exeter, St Luke’s Campus, Exeter, EX1 2LU, United Kingdom; Vine, S.J., School of Sport and Health Sciences, University of Exeter, St Luke’s Campus, Exeter, EX1 2LU, United Kingdom","Virtual reality (VR) has clear potential for improving simulation training in many industries. Yet, methods for testing the fidelity, validity and training efficacy of VR environments are, in general, lagging behind their adoption. There is limited understanding of how readily skills learned in VR will transfer, and what features of training design will facilitate effective transfer. Two potentially important elements are the psychological fidelity of the environment, and the stimulus correspondence with the transfer context. In this study, we examined the effectiveness of VR for training police room searching procedures, and assessed the corresponding development of perceptual-cognitive skill through eye-tracking indices of search efficiency. Participants (n = 54) were assigned to a VR rule-learning and search training task (FTG), a search only training task (SG) or a no-practice control group (CG). Both FTG and SG developed more efficient search behaviours during the training task, as indexed by increases in saccade size and reductions in search rate. The FTG performed marginally better than the CG on a novel VR transfer test, but no better than the SG. More efficient gaze behaviours learned during training were not, however, evident during the transfer test. These findings demonstrate how VR can be used to develop perceptual-cognitive skills, but also highlight the challenges of achieving transfer of training. © 2021, The Author(s).","Fidelity; Police; Policing; Training; Validity; VR","E-learning; Eye tracking; Cognitive skill; Gaze behaviours; Immersive virtual reality; Search behaviours; Search efficiency; Simulation training; Training design; Transfer of trainings; Virtual reality",Article,"Article in Press","",Scopus,2-s2.0-85100476971
"Rojas-Muñoz E., Lin C., Sanchez-Tamayo N., Cabrera M.E., Andersen D., Popescu V., Barragan J.A., Zarzaur B., Murphy P., Anderson K., Douglas T., Griffis C., McKee J., Kirkpatrick A.W., Wachs J.P.","57205650789;57193616240;57195214444;56661822000;56661805900;7103266698;57218000158;57207592471;57219322088;57212093286;57210912536;57210919543;55233918200;7103368482;9241519000;","Evaluation of an augmented reality platform for austere surgical telementoring: a randomized controlled crossover study in cricothyroidotomies",2020,"npj Digital Medicine","3","1", 75,"","",,3,"10.1038/s41746-020-0284-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087848610&doi=10.1038%2fs41746-020-0284-9&partnerID=40&md5=68d255c42100215022ef3ba3cf678424","School of Industrial Engineering, Purdue University, West Lafayette, IN, United States; Department of Computer Science, Purdue University, West Lafayette, IN, United States; Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA, United States; Department of Surgery, School of Medicine, Indiana University, Indianapolis, IN, United States; Naval Medical Center Portsmouth, Portsmouth, VA, United States; Department of Surgery, and the Regional Trauma Services, University of Calgary, Calgary, AB, Canada; Department of Critical Care Medicine, University of Calgary, Calgary, AB, Canada; Canadian Forces Medical Services, Ottawa, ON, Canada","Rojas-Muñoz, E., School of Industrial Engineering, Purdue University, West Lafayette, IN, United States; Lin, C., Department of Computer Science, Purdue University, West Lafayette, IN, United States; Sanchez-Tamayo, N., School of Industrial Engineering, Purdue University, West Lafayette, IN, United States; Cabrera, M.E., Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA, United States; Andersen, D., Department of Computer Science, Purdue University, West Lafayette, IN, United States; Popescu, V., Department of Computer Science, Purdue University, West Lafayette, IN, United States; Barragan, J.A., School of Industrial Engineering, Purdue University, West Lafayette, IN, United States; Zarzaur, B., Department of Surgery, School of Medicine, Indiana University, Indianapolis, IN, United States; Murphy, P., Department of Surgery, School of Medicine, Indiana University, Indianapolis, IN, United States; Anderson, K., Department of Surgery, School of Medicine, Indiana University, Indianapolis, IN, United States; Douglas, T., Naval Medical Center Portsmouth, Portsmouth, VA, United States; Griffis, C., Naval Medical Center Portsmouth, Portsmouth, VA, United States; McKee, J., Department of Surgery, and the Regional Trauma Services, University of Calgary, Calgary, AB, Canada; Kirkpatrick, A.W., Department of Surgery, and the Regional Trauma Services, University of Calgary, Calgary, AB, Canada, Department of Critical Care Medicine, University of Calgary, Calgary, AB, Canada, Canadian Forces Medical Services, Ottawa, ON, Canada; Wachs, J.P., School of Industrial Engineering, Purdue University, West Lafayette, IN, United States, Department of Surgery, School of Medicine, Indiana University, Indianapolis, IN, United States","Telementoring platforms can help transfer surgical expertise remotely. However, most telementoring platforms are not designed to assist in austere, pre-hospital settings. This paper evaluates the system for telementoring with augmented reality (STAR), a portable and self-contained telementoring platform based on an augmented reality head-mounted display (ARHMD). The system is designed to assist in austere scenarios: a stabilized first-person view of the operating field is sent to a remote expert, who creates surgical instructions that a local first responder wearing the ARHMD can visualize as three-dimensional models projected onto the patient’s body. Our hypothesis evaluated whether remote guidance with STAR could lead to performing a surgical procedure better, as opposed to remote audio-only guidance. Remote expert surgeons guided first responders through training cricothyroidotomies in a simulated austere scenario, and on-site surgeons evaluated the participants using standardized evaluation tools. The evaluation comprehended completion time and technique performance of specific cricothyroidotomy steps. The analyses were also performed considering the participants’ years of experience as first responders, and their experience performing cricothyroidotomies. A linear mixed model analysis showed that using STAR was associated with higher procedural and non-procedural scores, and overall better performance. Additionally, a binary logistic regression analysis showed that using STAR was associated to safer and more successful executions of cricothyroidotomies. This work demonstrates that remote mentors can use STAR to provide first responders with guidance and surgical knowledge, and represents a first step towards the adoption of ARHMDs to convey clinical expertise remotely in austere scenarios. © 2020, The Author(s).",,"adult; Article; augmented reality; controlled study; female; human; male; mentoring; priority journal; rating scale; surgeon; telementoring; tracheotomy; work experience",Article,"Final","",Scopus,2-s2.0-85087848610
"Brickler D., Teather R.J., Duchowski A.T., Babu S.V.","57063224300;24588246800;6701824388;9039004700;","A fitts’ law evaluation of visuo-haptic fidelity and sensory mismatch on user performance in a near-field disc transfer task in virtual reality",2020,"ACM Transactions on Applied Perception","17","4", 15,"","",,,"10.1145/3419986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098327645&doi=10.1145%2f3419986&partnerID=40&md5=405cfd1df7d08411fef108bce167fcb8","Clemson University, School of Computing, 100 McAdams Hall, Clemson, SC  29634, United States; Carleton University, School of Information Technology, 230 Azrieli Pavilion, 1125 Colonel By Drive, Ottawa, ON  K1S 5B6, Canada","Brickler, D., Clemson University, School of Computing, 100 McAdams Hall, Clemson, SC  29634, United States; Teather, R.J., Carleton University, School of Information Technology, 230 Azrieli Pavilion, 1125 Colonel By Drive, Ottawa, ON  K1S 5B6, Canada; Duchowski, A.T., Clemson University, School of Computing, 100 McAdams Hall, Clemson, SC  29634, United States; Babu, S.V., Clemson University, School of Computing, 100 McAdams Hall, Clemson, SC  29634, United States","The trade-off between speed and accuracy in precision tasks is important to evaluate during user interaction with input devices. When different sensory cues are added or altered in such interactions, those cues have an effect on this trade-off, and thus, they affect overall user performance. For instance, adding cues like haptic feedback and stereoscopic viewing will result in more realistic user interaction, thus improving performance in these tasks. Also, adding a noticeable disparity between physical and virtual movements creates a mismatch between visual and proprioceptive systems, which generally has a negative effect on performance. In this study, we investigate the effects of haptic feedback, stereoscopic viewing, and visuo-proprioceptive mismatch on how quickly and accurately users complete a virtual pick-and-place task using the PHANToM OMNI. Through this experiment, we find that in the movement phase of a ring transfer, movement time and user performance are affected by haptic feedback and visuo-proprioceptive mismatch, and the main effects of stereoscopic viewing appears to be limited to the more precise step when the ring is around the target peg. © 2020 Association for Computing Machinery.","Fitts’ law; Haptics; Near-field virtual reality; Stereo","Economic and social effects; Stereo image processing; Haptic feedbacks; Improving performance; Law evaluation; Movement time; Pick and place; Stereoscopic viewing; User interaction; User performance; Virtual reality",Article,"Final","",Scopus,2-s2.0-85098327645
"Saghafian M., Laumann K., Akhtar R.S., Skogstad M.R.","57220037198;6602490074;57220035991;57215534124;","The Evaluation of Virtual Reality Fire Extinguisher Training",2020,"Frontiers in Psychology","11",, 593466,"","",,,"10.3389/fpsyg.2020.593466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096573932&doi=10.3389%2ffpsyg.2020.593466&partnerID=40&md5=fca9427d1ab4d858a5e268f33309576e","Department of Psychology, Faculty of Social and Educational Sciences, Norwegian University of Science and Technology, Trondheim, Norway","Saghafian, M., Department of Psychology, Faculty of Social and Educational Sciences, Norwegian University of Science and Technology, Trondheim, Norway; Laumann, K., Department of Psychology, Faculty of Social and Educational Sciences, Norwegian University of Science and Technology, Trondheim, Norway; Akhtar, R.S., Department of Psychology, Faculty of Social and Educational Sciences, Norwegian University of Science and Technology, Trondheim, Norway; Skogstad, M.R., Department of Psychology, Faculty of Social and Educational Sciences, Norwegian University of Science and Technology, Trondheim, Norway","The aim of this research was to explore trainees’ perceptions and evaluation of Virtual Reality fire extinguisher training. Virtual Reality technology is being adopted by many industries for various purposes including safety training for safety critical industries. The future direction of Virtual Reality training requires an understanding of trainees’ evaluation of it; this fact motivated this research. Data were collected from 85 participants using a questionnaire after the training. Observation notes were taken to provide a better understanding of the context. Qualitative research with a thematic analysis was used to analyze the data. The results of this analysis revealed that the most salient themes reflect on issues surrounding the realism of the Virtual Reality simulation, namely different emotional and bodily experiences during the training, while the benefits of the training (health, safety, environmental advantages, efficiency and convenience, repeatability and variety of scenarios) make it a good supplement. Nevertheless, improved realism is needed to make it more effective and enhance transfer and acceptance. This study encourages the consideration of important matters (such as realism and emotions) when using Virtual Reality for fire training. It also describes the positive perceptions of this type of training (repeatability of training, safety and environmental concerns). © Copyright © 2020 Saghafian, Laumann, Akhtar and Skogstad.","convenience; fire extinguisher training; realism; safety; virtual reality",,Article,"Final","",Scopus,2-s2.0-85096573932
"Monteiro D., Liang H.-N., Wang J., Chen H., Baghaei N.","57144011000;8636386200;57207048907;57221155309;14020983900;","An In-Depth Exploration of the Effect of 2D/3D Views and Controller Types on First Person Shooter Games in Virtual Reality",2020,"Proceedings - 2020 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2020",,, 9284718,"713","724",,,"10.1109/ISMAR50242.2020.00102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099294395&doi=10.1109%2fISMAR50242.2020.00102&partnerID=40&md5=9a9ee4dfccc97f04f5650a4b63a6eea1","Xi'an Jiaotong-Liverpool University, China; Massey University, New Zealand","Monteiro, D., Xi'an Jiaotong-Liverpool University, China; Liang, H.-N., Xi'an Jiaotong-Liverpool University, China; Wang, J., Xi'an Jiaotong-Liverpool University, China; Chen, H., Xi'an Jiaotong-Liverpool University, China; Baghaei, N., Massey University, New Zealand","The amount of interest in Virtual Reality (VR) research has significantly increased over the past few years, both in academia and industry. The release of commercial VR Head-Mounted Displays (HMDs) has been a major contributing factor. However, there is still much to be learned, especially how views and input techniques, as well as their interaction, affect the VR experience. There is little work done on First-Person Shooter (FPS) games in VR, and those few studies have focused on a single aspect of VR FPS. They either focused on the view, e.g., comparing VR to a typical 2D display or on the controller types. To the best of our knowledge, there are no studies investigating variations of 2D/3D views in HMDs, controller types, and their interactions. As such, it is challenging to distinguish findings related to the controller type from those related to the view. If a study does not control for the input method and finds that 2D displays lead to higher performance than VR, we cannot generalize the results because of the confounding variables. To understand their interaction, we propose to analyze in more depth, whether it is the view (2D vs. 3D) or the way it is controlled that gives the platforms their respective advantages. To study the effects of the 2D/3D views, we created a 2D visual technique, PlaneFrame, that was applied inside the VR headset. Our results show that the controller type can have a significant positive impact on performance, immersion, and simulator sickness when associated with a 2D view. They further our understanding of the interactions that controllers and views have and demonstrate that comparisons are highly dependent on how both factors go together. Further, through a series of three experiments, we developed a technique that can lead to a substantial performance, a good level of immersion, and can minimize the level of simulator sickness. © 2020 IEEE.","2D/3D Views; Controller types; First Person Shooter; Gaming; Head-Mounted Displays; Virtual Reality","Augmented reality; Controllers; Diseases; Helmet mounted displays; Contributing factor; First person shooter games; Head mounted displays; Input methods; Input techniques; Simulator sickness; Visual techniques; Virtual reality",Conference Paper,"Final","",Scopus,2-s2.0-85099294395
