Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Fristedt S., Smith F., Grynne A., Browall M.","55084313400;55346672700;57221701745;13102729200;","Digi-Do: a digital information tool to support patients with breast cancer before, during, and after start of radiotherapy treatment: an RCT study protocol",2021,"BMC Medical Informatics and Decision Making","21","1", 76,"","",,,"10.1186/s12911-021-01448-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101771341&doi=10.1186%2fs12911-021-01448-3&partnerID=40&md5=20d63504c6ce82e8a6c6276d22fd80f8","Jönköping Academy For Improvement of Health and Welfare and IMPROVE, School of Health and Welfare, Jönköping University, Jönköping, Sweden; Department of Health Sciences, Faculty of Medicine, Lund University, Lund, Sweden; Regional Cancer Centre West, Gothenburg, Sweden; Department of Technology Management and Economics, Chalmers University of Technology, Gothenburg, Sweden; Department of Nursing and IMPROVE, School of Health and Welfare, Jönköping University, Jönköping, Sweden; Affiliated with the Department of Oncology, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden","Fristedt, S., Jönköping Academy For Improvement of Health and Welfare and IMPROVE, School of Health and Welfare, Jönköping University, Jönköping, Sweden, Department of Health Sciences, Faculty of Medicine, Lund University, Lund, Sweden; Smith, F., Regional Cancer Centre West, Gothenburg, Sweden, Department of Technology Management and Economics, Chalmers University of Technology, Gothenburg, Sweden; Grynne, A., Department of Nursing and IMPROVE, School of Health and Welfare, Jönköping University, Jönköping, Sweden; Browall, M., Department of Nursing and IMPROVE, School of Health and Welfare, Jönköping University, Jönköping, Sweden, Affiliated with the Department of Oncology, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden","Background: Radiation Therapy (RT) is a common treatment after breast cancer surgery and a complex process using high energy X-rays to eradicate cancer cells, important in reducing the risk of local recurrence. The high-tech environment and unfamiliar nature of RT can affect the patient’s experience of the treatment. Misconceptions or lack of knowledge about RT processes can increase levels of anxiety and enhance feelings of being unprepared at the beginning of treatment. Moreover, the waiting time is often quite long. The primary aim of this study will be to evaluate whether a digital information tool with VR-technology and preparatory information can decrease distress as well as enhance the self-efficacy and health literacy of patients affected by breast cancer before, during, and after RT. A secondary aim will be to explore whether the digital information tool increase patient flow while maintaining or increasing the quality of care. Method: The study is a prospective and longitudinal RCT study with an Action Research participatory design approach including mixed-methods data collection, i.e., standardised instruments, qualitative interviews (face-to-face and telephone) with a phenomenological hermeneutical approach, diaries, observations, and time measurements, and scheduled to take place from autumn 2020 to spring 2022. The intervention group (n = 80), will receive standard care and information (oral and written) and the digital information tool; and the control group (n = 80), will receive standard care and information (oral and written). Study recruitment and randomisation will be completed at two centres in the west of Sweden. Discussion: Research in this area is scarce and, to our knowledge, only few previous studies examine VR as a tool for increasing preparedness for patients with breast cancer about to undergo RT that also includes follow-ups six months after completed treatment. The participatory approach and design will safeguard the possibilities to capture the patient perspective throughout the development process, and the RCT design supports high research quality. Digitalisation brings new possibilities to provide safe, person-centred information that also displays a realistic picture of RT treatment and its contexts. The planned study will generate generalisable knowledge of relevance in similar health care contexts. Trial registration: ClinicalTrials.gov Identifier: NCT04394325. Registered May 19, 2020. Prospectively registered. © 2021, The Author(s).","Evaluation; Health literacy; Participatory design; Self-efficacy; Virtual reality",,Article,"Final","",Scopus,2-s2.0-85101771341
"Monteiro P., Melo M., Valente A., Vasconcelos-Raposo J., Bessa M.","57201131572;7102354924;7102410111;36070012200;14031038800;","Delivering Critical Stimuli for Decision Making in VR Training: Evaluation Study of a Firefighter Training Scenario",2021,"IEEE Transactions on Human-Machine Systems","51","2", 9247430,"65","74",,,"10.1109/THMS.2020.3030746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103091552&doi=10.1109%2fTHMS.2020.3030746&partnerID=40&md5=2ab0568260ec97afacd284c5f8dae21d","Inesc Tec, Porto, 4200-465, Portugal; Universidade de Trás-os-Montes e Alto Douro, Vila Real, 5000-801, Portugal","Monteiro, P., Inesc Tec, Porto, 4200-465, Portugal; Melo, M., Inesc Tec, Porto, 4200-465, Portugal; Valente, A., Inesc Tec, Porto, 4200-465, Portugal, Universidade de Trás-os-Montes e Alto Douro, Vila Real, 5000-801, Portugal; Vasconcelos-Raposo, J., Inesc Tec, Porto, 4200-465, Portugal, Universidade de Trás-os-Montes e Alto Douro, Vila Real, 5000-801, Portugal; Bessa, M., Inesc Tec, Porto, 4200-465, Portugal, Universidade de Trás-os-Montes e Alto Douro, Vila Real, 5000-801, Portugal","The goal for a virtual reality (VR) training system is to enable trainees to acquire all the knowledge they need to perform effectively in a real environment. Such a system should provide an experience so authentic that no further real-world training is necessary, meaning that it is sufficient to train in VR. We evaluate the impact of a haptic thermal stimulus, which is of paramount importance to decision making, on trainees performance and knowledge acquisition. A thermal device was created to deliver the stimulus. As a proof of concept, a procedure from firefighter training is selected, in which sensing the temperature of a door with one's hand is essential. The sample consisted of 48 subjects divided among three experimental scenarios: one in which a virtual thermometer is used (visual stimulus), another in which the temperature is felt with the hand (thermal stimulus) and a third in which both methods are used (visual + thermal stimuli). For the performance evaluation, we measured the total time taken, the numbers of correctly executed procedures and identified neutral planes, the deviation from the target height, and the responses to a knowledge transfer questionnaire. Presence, cybersickness, and usability are measured to evaluate the impact of the haptic thermal stimulus. Considering the thermal stimulus condition as the baseline, we conclude that the significantly different results in the performance among the conditions indicate that the better performance in the visual-only condition is not representative of the real-life performance. Consequently, VR training applications need to deliver the correct stimuli for decision making. © 2013 IEEE.","Firefighters; haptic cues; multisensory displays; thermal; training; virtual reality (VR)","Fire extinguishers; Knowledge acquisition; Knowledge management; Virtual reality; Evaluation study; Knowledge transfer; Proof of concept; Real environments; Real-life performance; Training applications; Training scenario; Training Systems; Decision making",Article,"Final","",Scopus,2-s2.0-85103091552
"Baceviciute S., Terkildsen T., Makransky G.","55441702500;57205338475;50361371800;","Remediating learning from non-immersive to immersive media: Using EEG to investigate the effects of environmental embeddedness on reading in Virtual Reality",2021,"Computers and Education","164",, 104122,"","",,,"10.1016/j.compedu.2020.104122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100105880&doi=10.1016%2fj.compedu.2020.104122&partnerID=40&md5=0e064f3f47964fe4caef507e98daa3ff","University of Copenhagen, Department of Psychology, Denmark","Baceviciute, S., University of Copenhagen, Department of Psychology, Denmark; Terkildsen, T., University of Copenhagen, Department of Psychology, Denmark; Makransky, G., University of Copenhagen, Department of Psychology, Denmark","Virtual Reality (VR) has the potential to enrich education but little is known about how unique affordances of immersive technology might influence leaning and cognition. This study investigates one particular affordance of VR, namely environmental embeddedness, which enables learners to be situated in simulated or imagined settings that contextualize their learning. A sample of 51 university students were administered written learning material in a between-subjects design study, wherein one group read text about sarcoma cancer on a physical pamphlet in the real world, and the other group read identical text on a virtual pamphlet embedded in an immersive VR environment which resembled a hospital room. The study combined advanced EEG measurement techniques, learning tests, and cognitive load measures to compare conditions. Results show that the VR group performed significantly better on a knowledge transfer post-test. However, reading in VR was found to be more cognitively effortful and less time-efficient. Findings suggest the significance of environmental embeddedness for learning, and provide important considerations for the design of educational VR environments, as we remediate learning content from non-immersive to immersive media. © 2021 Elsevier Ltd","EEG; Embeddedness; Learning; Remediation; Virtual reality environments","E-learning; Knowledge management; Remediation; Cognitive loads; Immersive media; Immersive technologies; Knowledge transfer; Learning contents; Learning materials; Measurement techniques; University students; Virtual reality",Article,"Final","",Scopus,2-s2.0-85100105880
"Araiza-Alba P., Keane T., Chen W.S., Kaufman J.","57191667278;55582336900;57188973057;7403022831;","Immersive virtual reality as a tool to learn problem-solving skills",2021,"Computers and Education","164",, 104121,"","",,,"10.1016/j.compedu.2020.104121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099353627&doi=10.1016%2fj.compedu.2020.104121&partnerID=40&md5=82079d081459ac2caf3cea01c4ad7087","Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia","Araiza-Alba, P., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia; Keane, T., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia; Chen, W.S., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia; Kaufman, J., Swinburne University of Technology, PO Box 218, Hawthorn, Victoria, Australia","Immersive virtual reality (IVR) technology has demonstrated positive educational outcomes related to its use and is gaining traction in educational and training settings; IVR is expected to have widespread adoption within the classroom in the upcoming years. However, the educational potential of IVR with children has not been thoroughly investigated, especially as a tool for problem-solving skills. Therefore, this study was designed to answer the following questions: (1) Is IVR a useful tool to learn and practice problem-solving skills? More specifically, do children using IVR solve a game better than those using a tablet application or a board game? (2) Does IVR provide a more engaging experience for children to practice problem-solving skills than on a tablet or a board game? (3) Do problem-solving skills learned with IVR technology transfer to real-life (physical game)? Children (n = 120) aged 7–9.9 years were randomly assigned to a problem-solving game in one of three conditions: board game, tablet, or IVR. The results showed that, overall, the percentage of children who completed the problem-solving game was higher in the IVR condition (77.5%), compared with those in the tablet (32.5%) or board game (30%) conditions. We also found that the interest and enjoyment scores of participants using IVR were significantly higher than participants in the other two conditions, and that the children in the IVR condition were able to learn how to solve the problem and transfer their learning to the physical game. IVR is a technology capable of engaging interest and motivating the user, as well as having the potential to assist in cognitive processing and knowledge transfer. © 2021 Elsevier Ltd","21st century abilities; Elementary education; Games; Problem-solving skills; Virtual reality","Knowledge management; Technology transfer; Transfer learning; Board games; Cognitive processing; Educational potential; Immersive virtual reality; Knowledge transfer; Physical games; Problem solving skills; Tablet applications; Virtual reality",Article,"Final","",Scopus,2-s2.0-85099353627
"Ozcinar C., İmamoğlu N., Wang W., Smolic A.","57211460523;38061650600;57213601132;57204958271;","Delivery of omnidirectional video using saliency prediction and optimal bitrate allocation",2021,"Signal, Image and Video Processing","15","3",,"493","500",,,"10.1007/s11760-020-01769-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090784192&doi=10.1007%2fs11760-020-01769-2&partnerID=40&md5=09390fc7a72cc1d7c7f88d20468860a9","V-SENSE, Trinity College Dublin, Dublin, Ireland; Artificial Intelligence Research Center, National Institute of Advanced Industrial Science and Technology, Tokyo, Japan","Ozcinar, C., V-SENSE, Trinity College Dublin, Dublin, Ireland; İmamoğlu, N., Artificial Intelligence Research Center, National Institute of Advanced Industrial Science and Technology, Tokyo, Japan; Wang, W., Artificial Intelligence Research Center, National Institute of Advanced Industrial Science and Technology, Tokyo, Japan; Smolic, A., V-SENSE, Trinity College Dublin, Dublin, Ireland","In this work, we propose and investigate a user-centric framework for the delivery of omnidirectional video (ODV) on VR systems by taking advantage of visual attention (saliency) models for bitrate allocation module. For this purpose, we formulate a new bitrate allocation algorithm that takes saliency map and nonlinear sphere-to-plane mapping into account for each ODV and solve the formulated problem using linear integer programming. For visual attention models, we use both image- and video-based saliency prediction results; moreover, we explore two types of attention model approaches: (i) salient object detection with transfer learning using pre-trained networks, (ii) saliency prediction with supervised networks trained on eye-fixation dataset. Experimental evaluations on saliency integration of models are discussed with interesting findings on transfer learning and supervised saliency approaches. © 2020, Springer-Verlag London Ltd., part of Springer Nature.","360 ∘ Video streaming; Attention-based bitrate allocation; Saliency maps with transfer learning and supervision","Behavioral research; Forecasting; Integer programming; Object detection; Transfer learning; Bit-rate allocation; Experimental evaluation; Formulated problems; Linear integer programming; Salient object detection; Supervised network; Visual Attention; Visual attention model; Learning systems",Article,"Final","",Scopus,2-s2.0-85090784192
"Cheng M., Anderson M., Levac D.E.","57222585846;57222586805;25937323900;","Performance Variability During Motor Learning of a New Balance Task in a Non-immersive Virtual Environment in Children With Hemiplegic Cerebral Palsy and Typically Developing Peers",2021,"Frontiers in Neurology","12",, 623200,"","",,,"10.3389/fneur.2021.623200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103329101&doi=10.3389%2ffneur.2021.623200&partnerID=40&md5=dabc59fc0853ed3646ac10dc4f0d0d8f","Rehabilitation Games and Virtual Reality Laboratory, Department of Physical Therapy, Movement and Rehabilitation Sciences, Northeastern University, Boston, MA, United States; Department of Biology, Macalester College, St. Paul, MN, United States","Cheng, M., Rehabilitation Games and Virtual Reality Laboratory, Department of Physical Therapy, Movement and Rehabilitation Sciences, Northeastern University, Boston, MA, United States; Anderson, M., Department of Biology, Macalester College, St. Paul, MN, United States; Levac, D.E., Rehabilitation Games and Virtual Reality Laboratory, Department of Physical Therapy, Movement and Rehabilitation Sciences, Northeastern University, Boston, MA, United States","Background: Motor impairments contribute to performance variability in children with cerebral palsy (CP) during motor skill learning. Non-immersive virtual environments (VEs) are popular interventions to promote motor learning in children with hemiplegic CP. Greater understanding of performance variability as compared to typically developing (TD) peers during motor learning in VEs may inform clinical decisions about practice dose and challenge progression. Purpose: (1) To quantify within-child (i.e., across different timepoints) and between-child (i.e., between children at the same timepoint) variability in motor skill acquisition, retention and transfer in a non-immersive VE in children with CP as compared to TD children; and (2) To explore the relationship between the amount of within-child variability during skill acquisition and learning outcomes. Methods: Secondary data analysis of 2 studies in which 13 children with hemiplegic CP and 67 TD children aged 7–14 years undertook repeated trials of a novel standing postural control task in acquisition, retention and transfer sessions. Changes in performance across trials and sessions in children with CP as compared to TD children and between younger (7–10 years) and older (11–14 years) children were assessed using mixed effects models. Raw scores were converted to z-scores to meet model distributional assumptions. Performance variability was quantified as the standard deviation of z-scores. Results: TD children outperformed children with CP and older children outperformed younger children at each session. Older children with CP had the least between-child variability in acquisition and the most in retention, while older TD children demonstrated the opposite pattern. Younger children with CP had consistently high between-child variability, with no difference between sessions. Within-child variability was highest in younger children, regardless of group. Within-child variability was more pronounced in TD children as compared to children with CP. The relationship between the amount of within-child variability in performance and performance outcome at acquisition, retention and transfer sessions was task-specific, with a positive correlation for 1 study and a negative correlation in the other. Conclusions: Findings, though preliminary and limited by small sample size, can inform subsequent research to explore VE-specific causes of performance variability, including differing movement execution requirements and individual characteristics such as motivation, attention and visuospatial abilities. © Copyright © 2021 Cheng, Anderson and Levac.","cerebral palsy; children; motor learning; variability; virtual environment; virtual reality",,Article,"Final","",Scopus,2-s2.0-85103329101
"Boller B., Ouellet É., Belleville S.","54402456500;55567624500;7003289069;","Using Virtual Reality to Assess and Promote Transfer of Memory Training in Older Adults With Memory Complaints: A Randomized Controlled Trial",2021,"Frontiers in Psychology","12",, 627242,"","",,,"10.3389/fpsyg.2021.627242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103339822&doi=10.3389%2ffpsyg.2021.627242&partnerID=40&md5=cc313318f3471c64a1312494f31a565a","Department of Psychology, Université du Québec à Trois-Rivières, Trois-Rivières, QC, Canada; Research Centre, Institut Universitaire de Gériatrie de Montréal, Montréal, QC, Canada; Department of Psychology, Université de Montréal, Montréal, QC, Canada","Boller, B., Department of Psychology, Université du Québec à Trois-Rivières, Trois-Rivières, QC, Canada, Research Centre, Institut Universitaire de Gériatrie de Montréal, Montréal, QC, Canada; Ouellet, É., Research Centre, Institut Universitaire de Gériatrie de Montréal, Montréal, QC, Canada, Department of Psychology, Université de Montréal, Montréal, QC, Canada; Belleville, S., Research Centre, Institut Universitaire de Gériatrie de Montréal, Montréal, QC, Canada, Department of Psychology, Université de Montréal, Montréal, QC, Canada","In this proof-of-concept study, we assessed the potential for immersive virtual reality (VR) to measure transfer following strategic memory training, and whether efficacy and transfer are increased when training is complemented by practice in an immersive virtual environment. Forty older adults with subjective memory complaints were trained with the method of loci. They were randomized to either a condition where they practiced the strategy in VR (n = 20) or a control condition where they were familiarized with VR using a non-memory task (n = 20). Training efficacy was measured with word recall, and transfer of the training benefit was measured with a recall task completed in two VR tasks (primary outcomes) as well as a self-report memory questionnaire (secondary outcomes). Testing was administered before (PRE), midway (POST 3), and after (POST 6) training. Participants improved their scores on word recall. Regarding transfer measures, participants improved their performance in the two VR recall tasks but not on the self-report memory questionnaire. No significant group effect was observed. Improvement was found when comparing PRE to POST 3 with no further improvement at POST 6. Thus, strategic memory training improved the memory of seniors with memory complaints on word recall and a transfer task relying on a VR scenario that resembles real-life. However, no evidence supporting an increase in transfer effects was found when enriching training with VR memory exercises. © Copyright © 2021 Boller, Ouellet and Belleville.","aging; cognitive training; episodic memory; memory complaint; randomized controlled trial; virtual reality",,Article,"Final","",Scopus,2-s2.0-85103339822
"Brammer J.C., van Peer J.M., Michela A., van Rooij M.M.J.W., Oostenveld R., Klumpers F., Dorrestijn W., Granic I., Roelofs K.","57221854061;14038421600;57194195608;54404177300;6602927779;36101415600;57222585101;6603473048;35585571200;","Breathing Biofeedback for Police Officers in a Stressful Virtual Environment: Challenges and Opportunities",2021,"Frontiers in Psychology","12",, 586553,"","",,,"10.3389/fpsyg.2021.586553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103308016&doi=10.3389%2ffpsyg.2021.586553&partnerID=40&md5=dd51c0adf17d11e68fa498779e15b2d9","Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, Netherlands; NatMEG, Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden; Police Academy of the Netherlands, Apeldoorn, Netherlands; Faculty of Law, Radboud University, Nijmegen, Netherlands","Brammer, J.C., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; van Peer, J.M., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; Michela, A., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; van Rooij, M.M.J.W., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; Oostenveld, R., Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, Netherlands, NatMEG, Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden; Klumpers, F., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, Netherlands; Dorrestijn, W., Police Academy of the Netherlands, Apeldoorn, Netherlands, Faculty of Law, Radboud University, Nijmegen, Netherlands; Granic, I., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands; Roelofs, K., Behavioural Science Institute, Radboud University, Nijmegen, Netherlands, Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, Netherlands","As part of the Dutch national science program “Professional Games for Professional Skills” we developed a stress-exposure biofeedback training in virtual reality (VR) for the Dutch police. We aim to reduce the acute negative impact of stress on performance, as well as long-term consequences for mental health by facilitating physiological stress regulation during a demanding decision task. Conventional biofeedback applications mainly train physiological regulation at rest. This might limit the transfer of the regulation skills to stressful situations. In contrast, we provide the user with the opportunity to practice breathing regulation while they carry out a complex task in VR. This setting poses challenges from a technical – (real-time processing of noisy biosignals) as well as from a user-experience perspective (multi-tasking). We illustrate how we approach these challenges in our training and hope to contribute a useful reference for researchers and developers in academia or industry who are interested in using biosignals to control elements in a dynamic virtual environment. © Copyright © 2021 Brammer, van Peer, Michela, van Rooij, Oostenveld, Klumpers, Dorrestijn, Granic and Roelofs.","biofeedback; physiological computing; stress exposure; user experience; virtual reality",,Article,"Final","",Scopus,2-s2.0-85103308016
"Liubogoshchev M., Korneev E., Khorov E.","57200496493;57222333639;34869950000;","Everest: Bitrate adaptation for cloud VR",2021,"Electronics (Switzerland)","10","6", 678,"1","17",,,"10.3390/electronics10060678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102367580&doi=10.3390%2felectronics10060678&partnerID=40&md5=b8109a2394052392181695bfc8233c23","Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, 127051, Russian Federation; Moscow Institute of Physics and Technology, Moscow, 141701, Russian Federation","Liubogoshchev, M., Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, 127051, Russian Federation, Moscow Institute of Physics and Technology, Moscow, 141701, Russian Federation; Korneev, E., Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, 127051, Russian Federation, Moscow Institute of Physics and Technology, Moscow, 141701, Russian Federation; Khorov, E., Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences, Moscow, 127051, Russian Federation, Moscow Institute of Physics and Technology, Moscow, 141701, Russian Federation","Cloud Virtual Reality (VR) technology is expected to promote VR by providing a higher Quality of Experience (QoE) and energy efficiency at lower prices for the consumer. In cloud VR, the virtual environment is rendered on the remote server and transmitted to the headset as a video stream. To guarantee real-time experience, networks need to transfer huge amounts of data with much stricter delays than imposed by the state-of-the-art live video streaming applications. To reduce the burden imposed on the networks, cloud VR applications shall adequately react to the changing network conditions, including the wireless channel fluctuations and highly variable user activity. For that, they need to adjust the quality of the video stream adaptively. This paper studies video quality adaptation for cloud VR and improves the QoE for cloud VR users. It develops a distributed, i.e., with no assistance from the network, bitrate adaptation algorithm for cloud VR, called the Enhanced VR bitrate Estimator (EVeREst). The algorithm aims to optimize the average bitrate of cloud VR video flows subject to video frame delay and loss constraints. For that, the algorithm estimates both the current network load and the delay experienced by separate frames. It anticipates the changes in the users’ activity and limits the bitrate accordingly, which helps prevent excess interruptions of the playback. With simulations, the paper shows that the developed algorithm significantly improves the QoE for the end-users compared to the state-of-the-art adaptation algorithms developed for MPEG DASH live streaming, e.g., BOLA. Unlike these algorithms, the developed algorithm satisfies the frame loss requirements of multiple VR sessions and increases the network goodput by up to 10 times. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Bitrate adaptation; Cloud VR; Quality of experience; Real-time adaptive video; Video traffic; Virtual reality",,Article,"Final","",Scopus,2-s2.0-85102367580
"Kourtesis P., Collina S., Doumas L.A.A., MacPherson S.E.","57210959726;35309731500;12345301900;57212061035;","Validation of the Virtual Reality Everyday Assessment Lab (VR-EAL): An Immersive Virtual Reality Neuropsychological Battery with Enhanced Ecological Validity",2021,"Journal of the International Neuropsychological Society","27","2",,"181","196",,2,"10.1017/S1355617720000764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095727298&doi=10.1017%2fS1355617720000764&partnerID=40&md5=682a1271572f8544a09deaa59f15dad1","Human Cognitive Neuroscience, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom; Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom; Lab of Experimental Psychology, Suor Orsola Benincasa University of Naples, Naples, Italy; Interdepartmental Centre for Planning and Research Scienza Nuova, Suor Orsola Benincasa University of Naples, Naples, Italy","Kourtesis, P., Human Cognitive Neuroscience, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom, Lab of Experimental Psychology, Suor Orsola Benincasa University of Naples, Naples, Italy, Interdepartmental Centre for Planning and Research Scienza Nuova, Suor Orsola Benincasa University of Naples, Naples, Italy; Collina, S., Lab of Experimental Psychology, Suor Orsola Benincasa University of Naples, Naples, Italy, Interdepartmental Centre for Planning and Research Scienza Nuova, Suor Orsola Benincasa University of Naples, Naples, Italy; Doumas, L.A.A., Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom; MacPherson, S.E., Human Cognitive Neuroscience, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom, Department of Psychology, University of Edinburgh, Edinburgh, United Kingdom","The assessment of cognitive functions such as prospective memory, episodic memory, attention, and executive functions benefits from an ecologically valid approach to better understand how performance outcomes generalize to everyday life. Immersive virtual reality (VR) is considered capable of simulating real-life situations to enhance ecological validity. The present study attempted to validate the Virtual Reality Everyday Assessment Lab (VR-EAL), an immersive VR neuropsychological battery, against an extensive paper-and-pencil neuropsychological battery. Methods: Forty-one participants (21 females) were recruited: 18 gamers and 23 non-gamers who attended both an immersive VR and a paper-and-pencil testing session. Bayesian Pearson's correlation analyses were conducted to assess construct and convergent validity of the VR-EAL. Bayesian t-tests were performed to compare VR and paper-and-pencil testing in terms of administration time, similarity to real-life tasks (i.e., ecological validity), and pleasantness. Results: VR-EAL scores were significantly correlated with their equivalent scores on the paper-and-pencil tests. The participants' reports indicated that the VR-EAL tasks were significantly more ecologically valid and pleasant than the paper-and-pencil neuropsychological battery. The VR-EAL battery also had a shorter administration time. Conclusion: The VR-EAL appears as an effective neuropsychological tool for the assessment of everyday cognitive functions, which has enhanced ecological validity, a highly pleasant testing experience, and does not induce cybersickness. © 2020 INS. Published by Cambridge University Press.","Attention; Episodic memory; Everyday functioning; Executive function; Prospective memory; Virtual reality",,Article,"Final","",Scopus,2-s2.0-85095727298
